,C0,mu,eta,e,B,m_init,mean_m,mean_nb,mean_nu,mean_C,mean_nv,e_effective,pv_type,theta,gen_max,bac_extinct,phage_extinct,timestamp,end_time,folder_date,f,pv
5845,10000.0,3.1622776601683788e-06,0.001,0.95,170.0,1.0,12.875,1572.0,0.4516553282737732,6505.8125,222812.4375,0.0827288329601287,binary,0.0,10000.0,0,0,2020-10-02T23:11:09.259459,10000.0,2019-05-14,0.3,0.02
5846,10000.0,3.1622776601683788e-06,0.001,0.95,170.0,1.0,12.06666660308838,1591.3333740234375,0.4601284563541413,6510.33349609375,217282.796875,0.0860887467861175,binary,0.0,10000.0,0,0,2020-10-03T00:55:50.726444,10000.0,2019-05-14,0.3,0.02
5847,10000.0,3.1622776601683788e-06,0.001,0.95,170.0,1.0,12.333333969116213,1597.3333740234375,0.4496947824954986,6487.2666015625,220921.734375,0.0854697227478027,binary,0.0,10000.0,0,0,2020-10-01T19:45:24.173388,10000.0,2019-05-14,0.3,0.02
5848,10000.0,1e-07,1e-05,0.8,170.0,1.0,2.9375,1919.875,0.5380622148513794,6013.25,223697.4375,0.266908586025238,binary,0.0,10000.0,0,0,2020-10-03T22:00:41.698824,10000.0,2019-05-14,0.3,0.02
5849,10000.0,1e-07,1e-05,0.8,170.0,1.0,2.5625,2007.875,0.5541939735412598,6046.8125,216621.9375,0.231660470366478,binary,0.0,10000.0,0,0,2020-10-03T22:21:34.402873,10000.0,2019-05-14,0.3,0.02
5850,10000.0,1e-07,1e-05,0.8,170.0,1.0,2.25,2156.875,0.6363471746444702,5901.375,207947.8125,0.3126524686813354,binary,0.0,10000.0,0,0,2020-10-03T22:33:05.439002,10000.0,2019-05-14,0.3,0.02
5851,10000.0,1e-07,1e-05,0.8,170.0,1.0,2.0625,2788.5625,0.6232497096061707,5351.5,188692.5625,0.4195187985897064,binary,0.0,10000.0,0,0,2020-10-01T19:45:24.253997,10000.0,2019-05-14,0.3,0.02
5852,10000.0,1e-07,1e-05,0.8,170.0,1.0,2.8125,2037.1875,0.5340791344642639,6024.0625,209170.375,0.3363837003707886,binary,0.0,10000.0,0,0,2020-10-01T19:45:24.198701,10000.0,2019-05-14,0.3,0.02
5853,3000.0,1e-07,0.01,0.1,170.0,10.0,2.784313678741455,461.7254943847656,0.8266869783401489,1970.843017578125,66703.8046875,0.0406081862747669,binary,0.0,10000.0,0,0,2020-10-03T23:25:40.791811,10000.0,2019-05-14,0.3,0.02
5854,3000.0,1e-07,0.01,0.1,170.0,10.0,2.215686321258545,472.3200073242188,0.8303874731063843,1979.1199951171875,65064.0390625,0.0491064488887786,binary,0.0,10000.0,0,0,2020-10-03T23:25:46.088106,10000.0,2019-05-14,0.3,0.02
5855,3000.0,1e-07,0.01,0.1,170.0,10.0,2.43137264251709,473.60784912109375,0.829749345779419,1969.5489501953125,65239.21484375,0.0451189205050468,binary,0.0,10000.0,0,0,2020-10-03T23:49:33.110782,10000.0,2019-05-14,0.3,0.02
5856,3000.0,1e-07,0.01,0.1,170.0,10.0,2.2352941036224365,481.0784301757813,0.8297407031059265,1961.9215087890625,66754.0234375,0.0489707961678504,binary,0.0,10000.0,0,0,2020-10-03T23:54:07.024979,10000.0,2019-05-14,0.3,0.02
5857,3000.0,1e-07,0.01,0.1,170.0,10.0,2.86274528503418,476.4313659667969,0.8294923305511475,1967.35302734375,66199.53125,0.0394995883107185,binary,0.0,10000.0,0,0,2020-10-04T00:11:43.237646,10000.0,2019-05-14,0.3,0.02
5858,10000.0,3.1622776601683795e-05,0.0001,0.8,170.0,50.0,7.843137741088867,1516.490234375,0.11603394895792,6650.56884765625,221083.078125,0.0842256098985672,binary,0.0,10000.0,0,0,2019-10-06T06:24:30.857218,10000.0,2019-05-14,0.3,0.02
5859,10000.0,3.1622776601683795e-05,0.0001,0.8,170.0,50.0,7.941176414489746,1505.176513671875,0.1138243451714515,6632.2744140625,221578.375,0.0808337554335594,binary,0.0,10000.0,0,0,2019-10-06T06:24:30.859339,10000.0,2019-05-14,0.3,0.02
5860,10000.0,3.1622776601683795e-05,0.0001,0.8,170.0,50.0,7.68627405166626,1508.176513671875,0.1127178519964218,6664.86279296875,217441.6875,0.0770051404833793,binary,0.0,10000.0,0,0,2020-01-17T13:54:48.064145,10000.0,2019-05-14,0.3,0.02
